trial,mode,seed,cycles,burst_prob,burst_scale,drift_rate,noise_scale,shock_prob,shock_scale,admissions,denials,latch_events,first_latch_cycle,intervention_precision,resid_p95,resid_p99
62,scout_v2,491020,809,0.03180949206408789,2.5784493860621716,0.007102749036654479,0.08692212274491554,0.01126397759621753,6.408355618316413,129,680,680,0,0.524390243902439,0.8,0.8
63,raw_v2,498939,780,0.08222572297999506,2.7584750459352705,0.017743329699354406,0.1482254547157876,0.012259271113241566,4.376362307554988,53,727,727,0,0.0,1.4713046663605578,1.8734823547200865
63,scout_v2,498939,780,0.08222572297999506,2.7584750459352705,0.017743329699354406,0.1482254547157876,0.012259271113241566,4.376362307554988,53,727,727,0,0.40298507462686567,0.8,0.8
64,raw_v2,506858,958,0.010650348660646958,3.90727305673452,0.01924326969517501,0.028789854195633093,0.0013674219069981742,5.430663634014964,223,735,735,0,0.0,1.0306407230988712,1.054074671876175
64,scout_v2,506858,958,0.010650348660646958,3.90727305673452,0.01924326969517501,0.028789854195633093,0.0013674219069981742,5.430663634014964,222,736,736,0,0.4666666666666667,0.8,0.8
65,raw_v2,514777,862,0.020921200978936672,3.4764542779185614,0.018721952815119246,0.16720160084652003,0.00828009551807396,2.7768121149638123,48,814,814,0,0.0,1.3147049063571963,1.7859451045992016
65,scout_v2,514777,862,0.020921200978936672,3.4764542779185614,0.018721952815119246,0.16720160084652003,0.00828009551807396,2.7768121149638123,47,815,815,0,0.273972602739726,0.8,0.8
66,raw_v2,522696,932,0.026053856116128163,3.5446795250851544,0.00592255736145207,0.1903937628177547,0.013951255032176436,2.3850020744130145,25,907,907,0,0.0,1.4497974248887275,2.124800092071529
66,scout_v2,522696,932,0.026053856116128163,3.5446795250851544,0.00592255736145207,0.1903937628177547,0.013951255032176436,2.3850020744130145,24,908,908,0,0.13953488372093023,0.8,0.8
67,raw_v2,530615,1090,0.05048740520245281,3.1985526530269945,0.01378180047533035,0.18307656760523788,0.006368768663615936,6.951538166647125,34,1056,1056,0,0.0,1.4319925708393737,2.1866929944887943
67,scout_v2,530615,1090,0.05048740520245281,3.1985526530269945,0.01378180047533035,0.18307656760523788,0.006368768663615936,6.951538166647125,35,1055,1055,0,0.171875,0.8,0.8
68,raw_v2,538534,839,0.08861369985795065,1.9562491399683748,0.014189010769674746,0.08582823545382177,0.0018282677200089736,3.663093381312998,135,704,704,0,0.0,1.1490727057231842,1.256088035546942
68,scout_v2,538534,839,0.08861369985795065,1.9562491399683748,0.014189010769674746,0.08582823545382177,0.0018282677200089736,3.663093381312998,135,704,704,0,0.5402298850574713,0.8,0.8
69,raw_v2,546453,1343,0.08783015901187316,3.992316751915854,0.0018596227859272907,0.08168282016591003,0.019870855576198283,5.138337552037795,220,1123,1123,0,0.0,1.2879671408342777,1.6402033801592655
69,scout_v2,546453,1343,0.08783015901187316,3.992316751915854,0.0018596227859272907,0.08168282016591003,0.019870855576198283,5.138337552037795,219,1124,1124,0,0.5244755244755245,0.8,0.8
70,raw_v2,554372,1556,0.05444739114187729,2.84579985245092,0.015995696283130828,0.11453739423625046,0.007443736706944668,4.372621037115367,198,1358,1358,0,0.0,1.2342154923333089,1.6319241234159227
